Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging
LPG,Ferrellgas,10522 N 2nd St,North of 173 on 251,Machesney Park,IL,61115,,815-877-7333,E,,Public,8am-4:30pm M-F,A Cash Checks D M V,,,,,,,,,,200-9,42.371222,-89.032441,2023-09-14,15351,2023-09-14 14:01:49 UTC,P,,,1999-07-08,,,true,,,US,,,,Public,,public,,,FUEL_RESELLER,,,,,,,,,"[""ACME""]",,,,,,,,false,,,,,,,,HD,
LPG,U-Haul,1560 Mount Prospect Rd,"Corner of Oakton and Mt. Prospect, between 83 and Manheim",Des Plaines,IL,60018,,847-298-1170,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,GPS,42.02364882070916,-87.92126835581973,2023-02-13,19916,2023-02-14 15:54:11 UTC,P,,,2000-11-01,,,true,,,US,,,,Public,,public,,,RENTAL_CAR_RETURN,,,,,,,,,"[""QUICK_CONNECT"", ""ACME""]",,,,,,,,false,,,,,,,,,
LPG,U-Haul,2915 W 159th St,,Markham,IL,60428,,708-333-7840,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-9,41.600255,-87.688178,2023-02-13,19919,2023-02-14 15:54:11 UTC,P,,,2000-11-01,,,true,,,US,,,,Public,,public,,,RENTAL_CAR_RETURN,,,,,,,,,"[""QUICK_CONNECT"", ""ACME""]",,,,,,,,false,,,,,,,,,
LPG,U-Haul,4650 W 95th St,East of Cicero Ave,Oak Lawn,IL,60453,,708-422-2332,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-9,41.720593,-87.737454,2023-02-13,19920,2023-02-14 15:54:11 UTC,P,,,2000-11-01,,,true,,,US,,,,Public,,public,,,RENTAL_CAR_RETURN,,,,,,,,,,,,,,,,,false,,,,,,,,HD,
LPG,U-Haul,1700 N Cicero Ave,Between North and Grand,Chicago,IL,60639,,773-889-8194,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-9,41.911872,-87.746203,2023-02-13,19924,2023-02-14 15:54:11 UTC,P,,,2000-11-01,,,true,,,US,,,,Public,,public,,,RENTAL_CAR_RETURN,,,,,,,,,"[""QUICK_CONNECT"", ""ACME""]",,,,,,,,false,,,,,,,,,
LPG,U-Haul,4301 N Cicero Ave,,Chicago,IL,60641,,773-286-4507,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 8am-6pm Sun",A Cash D M V,,,,,,,,,,200-8,41.958921,-87.74721,2023-02-13,19925,2023-02-14 15:54:11 UTC,P,,,2000-11-01,,,true,,,US,,,,Public,,public,,,RENTAL_CAR_RETURN,,,,,,,,,"[""ACME"", ""QUICK_CONNECT""]",,,,,,,,false,,,,,,,,HD,
LPG,U-Haul,1650 E 71st St,At Stoney Island,Chicago,IL,60649,,773-493-1206  708-389-0852,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-8,41.766351,-87.583615,2023-02-13,19926,2023-02-14 15:54:11 UTC,P,,,2000-11-01,,,true,,,US,,,,Public,,public,,,RENTAL_CAR_RETURN,,,,,,,,,"[""QUICK_CONNECT"", ""ACME""]",,,,,,,,false,,,,,,,,,
LPG,U-Haul,5027 W Cermak Rd,West of Cicero Ave before Laramie,Cicero,IL,60804,,708-656-8890,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-9,41.850832,-87.750927,2023-02-13,19927,2023-02-14 15:54:11 UTC,P,,,2000-11-01,,,true,,,US,,,,Public,,public,,,RENTAL_CAR_RETURN,,,,,,,,,"[""ACME"", ""QUICK_CONNECT""]",,,,,,,,false,,,,,,,,HD,
LPG,U-Haul,306 E University Ave,Between 3rd and 4th,Champaign,IL,61820,,217-351-7040,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-9,40.116631,-88.23472,2023-02-13,19932,2023-02-14 15:54:11 UTC,P,,,2000-11-01,,,true,,,US,,,,Public,,public,,,RENTAL_CAR_RETURN,,,,,,,,,"[""ACME"", ""QUICK_CONNECT""]",,,,,,,,false,,,,,,,,HD,
LPG,U-Haul,410 N Bruns Ln,South of Jefferson,Springfield,IL,62702,,217-546-2730,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-9,39.806744,-89.685933,2023-02-13,19934,2023-02-14 15:54:11 UTC,P,,,2000-11-01,,,true,,,US,,,,Public,,public,,,RENTAL_CAR_RETURN,,,,,,,,,"[""ACME"", ""QUICK_CONNECT""]",,,,,,,,false,,,,,,,,HD,
E85,Citgo,4070 N Clark St,,Chicago,IL,60613,,773-528-3040,E,,Public,24 hours daily,A Cash D Debit M V Wright_Exp,,,,,,,,,,200-9,41.956159,-87.663596,2023-09-14,20844,2023-09-14 14:01:49 UTC,P,,,2000-08-15,,,,false,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,,,,,,,,,
CNG,Village of Downers Grove,5101 Walnut Ave,Walnut Ave and Curtis St.,Downers Grove,IL,60515,,,E,,Private - Fleet customers only,Call 630-434-5509 to set up fueling account,,,Q,3600,,,,,,,200-9,41.793467,-88.051732,2023-09-14,23236,2023-09-14 14:01:49 UTC,P,,,2001-01-01,,HD,,,,US,,,,Privé - Réservé aux clients de parcs,,private,FLEET,,MUNI_GOV,1,,,,,,,,,,,Q,3600,HD,,,,,,,,,false,,HD,
E85,BP - Becker's,10 E Northbrook Dr,"At IL Route 47; I-55 exit 220, immediately south of I-55 on IL Route 47",Dwight,IL,60420,,815-584-2189,E,,Public,5:30am-10pm daily,A Cash D Debit M V Voyager Wright_Exp,,,,,,,,,,GPS,41.112992,-88.412481,2023-09-14,24807,2023-09-14 14:01:49 UTC,P,,,2003-10-15,,,,false,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,,,,,,,,MD,
E85,Illinois State CMS Garage,200 E Ash,,Springfield,IL,62704,,,E,,Private - Government only,Illinois State fuel card required; call Scott at 312-886-8682 for card,,,,,,,,,,,200-8,39.779213,-89.652986,2022-09-14,26014,2023-02-14 15:54:11 UTC,SG,,,2004-11-15,,,,false,,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,STATE_GOV,,,,,,,,,,,,,,,,,,,,,,,,,MD,
E85,Qik-n-EZ #62,1607 Morrissey Dr,,Bloomington,IL,61704,,309-661-0524,E,,Public,24 hours daily,A Cash Checks D FuelMan GasCard M PHH V Voyager Wright_Exp,,,,,,,,,,200-9,40.458468,-88.970711,2023-09-14,26666,2023-09-14 14:01:49 UTC,P,,,2005-03-15,,,,true,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,"[""E15""]",,,,,,,,,,,false,,,,,,,,MD,
E85,Fuel 24,1200 N Cheney St,At Route 29,Taylorville,IL,62568,,217-824-3833,E,,Public - Credit card after hours,"5:30am-11pm M-F, 6am-11pm Sat, 7am-10pm Sun",A Cash Checks D GasCard M V Voyager Wright_Exp,,,,,,,,,,200-9,39.561728,-89.306125,2022-09-14,26716,2023-07-14 21:09:10 UTC,P,,,2005-08-15,,,,false,,US,,,,Public - Carte de crédit après les heures d'ouverture,,public,CREDIT_CARD_AFTER_HOURS,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,,,,,,,,HD,
E85,Argonne National Laboratory,9700 S. Cass Avenue,,Lemont,IL,60439,,,E,,Private,DOE fleet use only,,,,,,,,,,,GPS,41.71298,-87.960781,2022-07-12,26878,2023-02-14 15:54:11 UTC,FG,8,U.S. Department of Energy,2005-04-15,,,,false,,US,,,,Privé,,private,,DOE,RESEARCH_FACILITY,,,,,,,,,,,,,,,,,,,,,,,,,,
E85,Naval Station Great Lakes,2415 Spaulding St,,Great Lakes,IL,60088,,,E,,Private - Government only,,,,,,,,,,,,200-8,42.317212,-87.851241,2022-07-12,26880,2023-05-30 18:46:28 UTC,FG,14,Department of Navy,2005-04-15,,,,false,,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,DON,MIL_BASE,,,,,,,,,,,,,,,,,,,,,,,,,,
E85,Phillips 66 - Apollo Mart,2136 S Airport Rd,Junction of Airport Road and West Harp Hollow Road,Bartonville,IL,61607,,309-697-6610,E,,Public,24 hours daily,A Cash Checks D Debit M V,,,,,,,,,,200-9,40.66394,-89.679796,2023-09-14,27348,2023-09-14 14:01:49 UTC,P,,,2005-09-15,,,,false,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,,,,,,,,,
E85,Qik-n-EZ #72,1609 N Main St,Just south of West Raab Road,Normal,IL,61761,,309-862-0200,E,,Public,24 hours daily,A Cash Checks D M V Voyager Wright_Exp,,,,,,,,,,200-9,40.530365,-88.996595,2023-09-14,27427,2023-09-14 14:01:49 UTC,P,,,2005-07-15,,,,true,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,"[""E15""]",,,,,,,,,,,false,,,,,,,,MD,
