Fuel_Type_Code,Station_Name,Street_Address,City,ZIP,Station_Phone,Status_Code,Groups_With_Access_Code,Access_Days_Time,EV_DC_Fast_Count,EV_Network,Provider,Geocode_Status,Latitude,Longitude,Date_Last_Confirmed,ID,Updated_At,Owner_Type_Code,Open_Date,LPG_Primary,E85_Blender_Pump,EV_Connector_Types,Access_Detail_Code,Facility_Type,CNG_Dispenser_Num,Restricted_Access,EV_Workplace_Charging,Credit,Cash,Debit,No Payment Info
LPG,Ferrellgas,10522 N 2nd St,Machesney Park,61115,815-877-7333,E,Public,Less than 24 hours,0,Non-Networked,Not Applicable,200-9,42.371223,-89.03244,9/14/2023,15351,9/14/2023,P,7/8/1999,True,False,NA,CALL,FUEL_RESELLER,0,False,False,0,1,0,0
LPG,U-Haul,1560 Mount Prospect Rd,Des Plaines,60018,847-298-1170,E,Public,Less than 24 hours,0,Non-Networked,Not Applicable,GPS,42.023647,-87.921265,2/13/2023,19916,2/14/2023,P,11/1/2000,True,False,NA,CALL,RENTAL_CAR_RETURN,0,True,True,0,1,0,0
LPG,U-Haul,2915 W 159th St,Markham,60428,708-333-7840,E,Public,Less than 24 hours,0,Non-Networked,Not Applicable,200-9,41.600254,-87.68818,2/13/2023,19919,2/14/2023,P,11/1/2000,True,False,NA,CALL,RENTAL_CAR_RETURN,0,True,True,0,1,0,0
LPG,U-Haul,4650 W 95th St,Oak Lawn,60453,708-422-2332,E,Public,Less than 24 hours,0,Non-Networked,Not Applicable,200-9,41.720592,-87.73746,2/13/2023,19920,2/14/2023,P,11/1/2000,True,False,NA,CALL,RENTAL_CAR_RETURN,0,False,False,0,1,0,0
LPG,U-Haul,1700 N Cicero Ave,Chicago,60639,773-889-8194,E,Public,Less than 24 hours,0,Non-Networked,Not Applicable,200-9,41.911873,-87.7462,2/13/2023,19924,2/14/2023,P,11/1/2000,True,False,NA,CALL,RENTAL_CAR_RETURN,0,True,True,0,1,0,0
LPG,U-Haul,4301 N Cicero Ave,Chicago,60641,773-286-4507,E,Public,Less than 24 hours,0,Non-Networked,Not Applicable,200-8,41.95892,-87.74721,2/13/2023,19925,2/14/2023,P,11/1/2000,True,False,NA,CALL,RENTAL_CAR_RETURN,0,True,True,0,1,0,0
LPG,U-Haul,1650 E 71st St,Chicago,60649,773-493-1206,E,Public,Less than 24 hours,0,Non-Networked,Not Applicable,200-8,41.76635,-87.58362,2/13/2023,19926,2/14/2023,P,11/1/2000,True,False,NA,CALL,RENTAL_CAR_RETURN,0,True,True,0,1,0,0
LPG,U-Haul,5027 W Cermak Rd,Cicero,60804,708-656-8890,E,Public,Less than 24 hours,0,Non-Networked,Not Applicable,200-9,41.850834,-87.75093,2/13/2023,19927,2/14/2023,P,11/1/2000,True,False,NA,CALL,RENTAL_CAR_RETURN,0,True,True,0,1,0,0
LPG,U-Haul,306 E University Ave,Champaign,61820,217-351-7040,E,Public,Less than 24 hours,0,Non-Networked,Not Applicable,200-9,40.11663,-88.23472,2/13/2023,19932,2/14/2023,P,11/1/2000,True,False,NA,CALL,RENTAL_CAR_RETURN,0,True,True,0,1,0,0
LPG,U-Haul,410 N Bruns Ln,Springfield,62702,217-546-2730,E,Public,Less than 24 hours,0,Non-Networked,Not Applicable,200-9,39.806744,-89.685936,2/13/2023,19934,2/14/2023,P,11/1/2000,True,False,NA,CALL,RENTAL_CAR_RETURN,0,True,True,0,1,0,0
E85,Citgo,4070 N Clark St,Chicago,60613,773-528-3040,E,Public,24 hours daily,0,Non-Networked,Not Applicable,200-9,41.956158,-87.6636,9/14/2023,20844,9/14/2023,P,8/15/2000,False,False,NA,CALL,CONVENIENCE_STORE,0,False,False,0,1,1,0
CNG,Village of Downers Grove,5101 Walnut Ave,Downers Grove,60515,Not Available,E,Private,Less than 24 hours,0,Non-Networked,Not Applicable,200-9,41.79347,-88.051735,9/14/2023,23236,9/14/2023,P,1/1/2001,False,False,NA,FLEET,MUNI_GOV,1,True,True,1,1,1,1
E85,BP - Becker's,10 E Northbrook Dr,Dwight,60420,815-584-2189,E,Public,Less than 24 hours,0,Non-Networked,Not Applicable,GPS,41.11299,-88.41248,9/14/2023,24807,9/14/2023,P,10/15/2003,False,False,NA,CALL,CONVENIENCE_STORE,0,False,False,0,1,1,0
E85,Illinois State CMS Garage,200 E Ash,Springfield,62704,Not Available,E,Private,Less than 24 hours,0,Non-Networked,Not Applicable,200-8,39.779213,-89.652985,9/14/2022,26014,2/14/2023,SG,11/15/2004,False,False,NA,GOVERNMENT,STATE_GOV,0,True,True,1,1,1,1
E85,Qik-n-EZ #62,1607 Morrissey Dr,Bloomington,61704,309-661-0524,E,Public,24 hours daily,0,Non-Networked,Not Applicable,200-9,40.45847,-88.97071,9/14/2023,26666,9/14/2023,P,3/15/2005,False,True,NA,CALL,CONVENIENCE_STORE,0,False,False,0,1,0,0
E85,Fuel 24,1200 N Cheney St,Taylorville,62568,217-824-3833,E,Public,Less than 24 hours,0,Non-Networked,Not Applicable,200-9,39.56173,-89.30612,9/14/2022,26716,7/14/2023,P,8/15/2005,False,False,NA,CREDIT_CARD_AFTER_HOURS,CONVENIENCE_STORE,0,False,False,0,1,0,0
E85,Argonne National Laboratory,9700 S. Cass Avenue,Lemont,60439,Not Available,E,Private,Less than 24 hours,0,Non-Networked,Not Applicable,GPS,41.71298,-87.96078,7/12/2022,26878,2/14/2023,FG,4/15/2005,False,False,NA,CALL,RESEARCH_FACILITY,0,True,True,1,1,1,1
E85,Naval Station Great Lakes,2415 Spaulding St,Great Lakes,60088,Not Available,E,Private,Less than 24 hours,0,Non-Networked,Not Applicable,200-8,42.31721,-87.85124,7/12/2022,26880,5/30/2023,FG,4/15/2005,False,False,NA,GOVERNMENT,MIL_BASE,0,True,True,1,1,1,1
E85,Phillips 66 - Apollo Mart,2136 S Airport Rd,Bartonville,61607,309-697-6610,E,Public,24 hours daily,0,Non-Networked,Not Applicable,200-9,40.66394,-89.679794,9/14/2023,27348,9/14/2023,P,9/15/2005,False,False,NA,CALL,CONVENIENCE_STORE,0,False,False,0,1,1,0
E85,Qik-n-EZ #72,1609 N Main St,Normal,61761,309-862-0200,E,Public,24 hours daily,0,Non-Networked,Not Applicable,200-9,40.530365,-88.9966,9/14/2023,27427,9/14/2023,P,7/15/2005,False,True,NA,CALL,CONVENIENCE_STORE,0,False,False,0,1,0,0
E85,Qik-n-EZ #52,301 S Poplar St,Pana,62557,217-562-2044,E,Public,Less than 24 hours,0,Non-Networked,Not Applicable,200-9,39.386204,-89.08153,9/14/2023,27428,9/14/2023,P,7/15/2005,False,True,NA,CREDIT_CARD_AFTER_HOURS,CONVENIENCE_STORE,0,False,False,0,1,1,0
E85,Fast Stop Fuel 24 - Princeton Gas,720 N Main St,Princeton,61356,815-872-0706,T,Public,24 hours daily,0,Non-Networked,Not Applicable,200-9,41.38222,-89.4653,9/14/2023,27429,9/14/2023,P,7/15/2005,False,True,NA,CALL,CONVENIENCE_STORE,0,False,False,0,1,1,0
E85,Qik-n-EZ #55,1101 Stevenson Dr,Springfield,62703,217-529-0002,E,Public,24 hours daily,0,Non-Networked,Not Applicable,200-9,39.75709,-89.64041,9/14/2023,27432,9/14/2023,P,9/15/2006,False,True,NA,CALL,CONVENIENCE_STORE,0,False,False,0,1,1,0
E85,The Hometown Express,365 US Highway 6 E,Geneseo,61254,309-944-5158,E,Public,Less than 24 hours,0,Non-Networked,Not Applicable,200-8,41.4399,-90.15118,9/14/2023,28301,9/14/2023,P,12/15/2005,False,False,NA,CREDIT_CARD_AFTER_HOURS,CONVENIENCE_STORE,0,False,False,0,1,0,0
E85,Speedway #1417,4032 US Highway 34,Oswego,60543,630-551-3310,E,Public,24 hours daily,0,Non-Networked,Not Applicable,200-9,41.68768,-88.338486,9/14/2023,28307,9/14/2023,P,6/15/2005,False,False,NA,CALL,CONVENIENCE_STORE,0,False,False,0,1,0,0
E85,Shell - Jiffi Stop #16,1401 N 24th St,Quincy,62301,217-223-6381,E,Public,Less than 24 hours,0,Non-Networked,Not Applicable,200-8,39.94819,-91.37785,9/14/2023,28310,9/14/2023,P,12/15/2005,False,False,NA,CREDIT_CARD_AFTER_HOURS,CONVENIENCE_STORE,0,False,False,0,1,0,0
E85,Qik-n-EZ #57,103 Comfort Dr,Jacksonville,62650,217-243-3400,E,Public,Less than 24 hours,0,Non-Networked,Not Applicable,200-9,39.691765,-90.229195,9/14/2023,28423,9/14/2023,P,5/15/2007,False,True,NA,CREDIT_CARD_AFTER_HOURS,CONVENIENCE_STORE,0,False,False,0,1,1,0
E85,Thorntons #125,2800 Ogden Ave,Aurora,60504,630-820-6468,E,Public,24 hours daily,0,Non-Networked,Not Applicable,200-9,41.74109,-88.24649,9/14/2023,28637,9/14/2023,P,7/15/2006,False,True,NA,CALL,CONVENIENCE_STORE,0,False,False,0,1,0,0
E85,Speedway #1419,15060 S Bell Rd,Homer Glen,60491,708-301-2388,E,Public,24 hours daily,0,Non-Networked,Not Applicable,200-9,41.61484,-87.93112,9/14/2023,28770,9/14/2023,P,12/15/2005,False,False,NA,CALL,CONVENIENCE_STORE,0,False,False,0,1,0,0
E85,Piatt Service Co,427 W Marion,Monticello,61856,217-762-2133,E,Public,24 hours daily,0,Non-Networked,Not Applicable,200-9,40.023426,-88.57534,9/14/2023,28773,9/14/2023,P,11/15/2005,False,True,NA,CREDIT_CARD_ALWAYS,STANDALONE_STATION,0,True,True,0,0,1,0
E85,FS Fast Stop Express,1601 1st Ave,Silvis,61282,309-792-0636,E,Public,Less than 24 hours,0,Non-Networked,Not Applicable,200-8,41.51064,-90.40627,9/14/2023,28776,9/14/2023,P,1/17/2020,False,True,NA,CREDIT_CARD_AFTER_HOURS,STANDALONE_STATION,0,True,True,0,0,0,0
E85,Fast Stop Travel Center,4 Corvette Dr,Litchfield,62056,217-324-7114,E,Public,24 hours daily,0,Non-Networked,Not Applicable,200-8,39.17685,-89.67478,9/14/2023,29184,9/14/2023,P,2/15/2006,False,True,NA,CALL,TRAVEL_CENTER,0,False,False,0,1,1,0
E85,Blick & Blick Oil Inc,203 SE 5th Ave,Aledo,61231,309-582-2012,E,Public,Less than 24 hours,0,Non-Networked,Not Applicable,200-9,41.200665,-90.74496,9/14/2023,29430,9/14/2023,P,4/15/2006,False,False,NA,CREDIT_CARD_AFTER_HOURS,FUEL_RESELLER,0,False,False,0,1,0,0
E85,Shell,750 E Higgins Rd,Schaumburg,60173,847-843-2424,E,Public,24 hours daily,0,Non-Networked,Not Applicable,200-8,42.04152,-88.06058,11/10/2022,29671,9/1/2023,P,6/15/2005,False,False,NA,CALL,CONVENIENCE_STORE,0,False,False,0,1,1,0
E85,Carroll Service Co,505 W Illinois Route 64,Lanark,61046,815-493-2478,E,Public,Less than 24 hours,0,Non-Networked,Not Applicable,GPS,42.095646,-89.83951,9/14/2023,29841,9/14/2023,P,6/15/2006,False,False,NA,CREDIT_CARD_AFTER_HOURS,GAS_STATION,0,False,False,0,1,0,0
E85,Thorntons #351,107 W Spring Creek Rd,East Peoria,61611,309-694-1777,E,Public,24 hours daily,0,Non-Networked,Not Applicable,200-9,40.731987,-89.520294,9/14/2023,30034,9/14/2023,P,8/15/2006,False,True,NA,CALL,CONVENIENCE_STORE,0,False,False,0,1,0,0
E85,Gibson City Fuel 24,Illinois 9 & Illinois 54,Gibson City,60936,217-784-4259,E,Public,24 hours daily,0,Non-Networked,Not Applicable,GPS,40.456882,-88.369156,9/14/2023,30074,9/14/2023,P,1/15/2007,False,True,NA,CREDIT_CARD_ALWAYS,STANDALONE_STATION,0,True,True,0,0,1,0
E85,Thorntons #364,102 W Etna Rd,Ottawa,61350,815-433-4101,E,Public,24 hours daily,0,Non-Networked,Not Applicable,GPS,41.372707,-88.83628,9/14/2023,30076,9/14/2023,P,8/15/2006,False,True,NA,CALL,CONVENIENCE_STORE,0,False,False,0,1,0,0
E85,Woodman's Grocery,151 Hansen Blvd,North Aurora,60542,630-723-3900,T,Public,Less than 24 hours,0,Non-Networked,Not Applicable,200-8,41.80446,-88.3716,9/14/2023,30397,9/14/2023,P,1/15/2007,False,False,NA,CREDIT_CARD_AFTER_HOURS,GROCERY,0,False,False,0,1,1,0
E85,BP - Monroe Center,5534 N Limestone Rd,Monroe Center,61052,815-393-3600,E,Public,24 hours daily,0,Non-Networked,Not Applicable,200-8,42.10117,-89.01726,9/14/2023,31787,9/14/2023,P,3/15/2007,False,False,NA,CALL,CONVENIENCE_STORE,0,False,False,0,1,1,0
E85,Shell - Circle K,220 W Virginia St,Crystal Lake,60014,815-459-7807,E,Public,24 hours daily,0,Non-Networked,Not Applicable,200-8,42.22776,-88.32859,9/14/2023,32368,9/14/2023,P,6/15/2007,False,False,NA,CALL,CONVENIENCE_STORE,0,False,False,0,1,1,0
E85,Citgo - Aisha Wash and Fuel Island,5549 W Diversey Ave,Chicago,60639,773-889-0241,E,Public,24 hours daily,0,Non-Networked,Not Applicable,200-9,41.930943,-87.76578,9/14/2023,32648,9/14/2023,P,9/15/2007,False,False,NA,CALL,CARWASH,0,False,False,0,1,1,0
E85,Meijer Gas #207,1800 E College Ave,Normal,61761,309-888-0829,E,Public,24 hours daily,0,Non-Networked,Not Applicable,GPS,40.510826,-88.94847,8/10/2023,32743,8/10/2023,P,11/15/2007,False,False,NA,CALL,CONVENIENCE_STORE,0,False,False,1,1,1,0
E85,Mobil - North Damen Mart,2801 N Damen Ave,Chicago,60618,773-528-0461,T,Public,24 hours daily,0,Non-Networked,Not Applicable,200-8,41.9327,-87.67812,1/10/2023,32958,2/14/2023,P,3/15/2008,False,False,NA,CREDIT_CARD_ALWAYS,CONVENIENCE_STORE,0,False,False,0,0,1,0
E85,Mobil - Midway,8145 S Pulaski,Chicago,60652,773-585-8912,E,Public,24 hours daily,0,Non-Networked,Not Applicable,200-9,41.744263,-87.72134,9/14/2023,33072,9/14/2023,P,5/15/2008,False,False,NA,CALL,CONVENIENCE_STORE,0,False,False,0,1,0,0
E85,City of Chicago FS#6,10101 S Stoney Island,Chicago,60617,Not Available,E,Private,Less than 24 hours,0,Non-Networked,Not Applicable,200-9,41.710606,-87.62315,9/14/2023,33084,9/14/2023,LG,6/15/2008,False,False,NA,GOVERNMENT,MUNI_GOV,0,True,True,1,1,1,1
E85,City of Chicago FS#5,4833 W Sunnyside Ave,Chicago,60630,Not Available,E,Private,Less than 24 hours,0,Non-Networked,Not Applicable,200-8,41.96255,-87.74881,9/14/2023,33085,9/14/2023,LG,6/15/2008,False,False,NA,GOVERNMENT,MUNI_GOV,0,True,True,1,1,1,1
E85,City of Chicago FS#3,4233 W Ferdinand,Chicago,60624,Not Available,E,Private,Less than 24 hours,0,Non-Networked,Not Applicable,200-9,41.889065,-87.732605,9/14/2023,33086,9/14/2023,LG,6/15/2008,False,False,NA,GOVERNMENT,MUNI_GOV,0,True,True,1,1,1,1
E85,City of Chicago FS#9,25 W 65th St,Chicago,60621,Not Available,E,Private,Less than 24 hours,0,Non-Networked,Not Applicable,200-8,41.77644,-87.62595,9/14/2023,33087,9/14/2023,LG,3/15/2010,False,False,NA,GOVERNMENT,MUNI_GOV,0,True,True,1,1,1,1
E85,City of Chicago FS#7,10000 W Montrose Ave,Chicago,60666,Not Available,E,Private,Less than 24 hours,0,Non-Networked,Not Applicable,GPS,41.959404,-87.83947,9/14/2023,33088,9/14/2023,LG,6/15/2008,False,False,NA,GOVERNMENT,MUNI_GOV,0,True,True,1,1,1,1
E85,City of Chicago FS#4,3746 S Iron,Chicago,60609,Not Available,E,Private,Less than 24 hours,0,Non-Networked,Not Applicable,200-8,41.82617,-87.659386,9/14/2023,33089,9/14/2023,LG,10/15/2008,False,False,NA,GOVERNMENT,MUNI_GOV,0,True,True,1,1,1,1
CNG,City of Chicago FS#9,25 W 65th St,Chicago,60621,Not Available,E,Private,Less than 24 hours,0,Non-Networked,Not Applicable,200-8,41.77644,-87.62595,9/14/2023,33144,9/14/2023,LG,7/15/2008,False,False,NA,GOVERNMENT,MUNI_GOV,1,True,True,1,1,1,1
E85,Petro Travel Plaza,900 Petro Dr,Rochelle,61068,815-562-5922,E,Public,24 hours daily,0,Non-Networked,Not Applicable,200-9,41.93549,-89.0322,9/14/2023,33225,9/14/2023,P,7/15/2008,False,True,NA,CREDIT_CARD_AFTER_HOURS,TRAVEL_CENTER,0,False,False,0,1,0,0
E85,Shell - Gages Lake,33978 N US 45,Gages Lake,60030,847-223-9033,E,Public,Less than 24 hours,0,Non-Networked,Not Applicable,GPS,42.356644,-88.003006,9/14/2023,33246,9/14/2023,P,7/15/2008,False,False,NA,CREDIT_CARD_AFTER_HOURS,CONVENIENCE_STORE,0,False,False,0,1,1,0
CNG,Village of Homewood,17755 Ashland Ave,Homewood,60430,Not Available,E,Private,Less than 24 hours,0,Non-Networked,Not Applicable,200-9,41.564816,-87.6504,1/10/2023,33534,5/30/2023,LG,10/1/2001,False,False,NA,GOVERNMENT,MUNI_GOV,0,True,True,1,1,1,1
CNG,Village of Oak Park,201 South Blvd,Oak Park,60302,Not Available,T,Private,Less than 24 hours,0,Non-Networked,Not Applicable,200-8,41.88706,-87.780594,9/14/2023,33536,9/14/2023,LG,3/9/2023,False,False,NA,GOVERNMENT,MUNI_GOV,1,True,True,1,1,1,1
E85,Shell - East Dundee,1097 E Main St,East Dundee,60118,847-428-4205,E,Public,Less than 24 hours,0,Non-Networked,Not Applicable,200-8,42.08807,-88.244835,9/14/2023,33777,9/14/2023,P,1/1/2007,False,False,NA,CREDIT_CARD_AFTER_HOURS,CONVENIENCE_STORE,0,False,False,0,1,1,0
E85,Midwest Petroleum - ZX,4001 S State Route 159,Glen Carbon,62034,618-288-1321,E,Public,24 hours daily,0,Non-Networked,Not Applicable,200-9,38.77384,-89.957275,9/14/2023,33778,9/14/2023,P,1/27/2009,False,False,NA,CALL,CONVENIENCE_STORE,0,False,False,0,1,1,0
E85,Meijer Gas #247,2602 S Philo Rd,Urbana,61802,217-365-5229,E,Public,24 hours daily,0,Non-Networked,Not Applicable,GPS,40.084366,-88.18983,8/10/2023,33783,8/10/2023,P,8/1/2008,False,False,NA,CALL,CONVENIENCE_STORE,0,False,False,0,1,0,0
ELEC,City of Champaign - Hill Street Parking Deck,123 W Hill St,Champaign,61820,217-403-4700,T,Public,24 hours daily,0,Non-Networked,Not Applicable,GPS,40.11916,-88.24419,11/10/2022,33921,2/14/2023,LG,1/15/2009,False,False,J1772,CALL,PAY_GARAGE,0,False,False,1,1,1,1
E85,Mobil - Lisle,5500 S Lincoln,Lisle,60532,630-963-2810,E,Public,Less than 24 hours,0,Non-Networked,Not Applicable,GPS,41.786484,-88.07453,9/14/2023,33934,9/14/2023,P,12/23/2008,False,False,NA,CREDIT_CARD_AFTER_HOURS,CONVENIENCE_STORE,0,False,False,0,1,1,0
E85,Effingham Fast Stop General Store,410 S Willow St,Effingham,62401,217-342-9234,E,Public,Less than 24 hours,0,Non-Networked,Not Applicable,GPS,39.117958,-88.537445,7/11/2023,34186,7/11/2023,P,4/3/2009,False,False,NA,CREDIT_CARD_AFTER_HOURS,CONVENIENCE_STORE,0,False,False,0,1,0,0
E85,Fast Stop,11109 Old Highway 50,Flora,62839,618-662-2423,E,Public,24 hours daily,0,Non-Networked,Not Applicable,GPS,38.671932,-88.455444,9/14/2023,34187,9/14/2023,P,4/14/2009,False,False,NA,CALL,CONVENIENCE_STORE,0,False,False,0,1,1,0
E85,Green Mount MotoMart,1790 Frank Scott Pkwy E,Shiloh,62269,618-622-8379,E,Public,24 hours daily,0,Non-Networked,Not Applicable,GPS,38.570244,-89.929855,9/14/2023,35115,9/14/2023,P,6/15/2009,False,False,NA,CALL,CONVENIENCE_STORE,0,False,False,0,1,1,0
E85,Fuel 24 - Annawan,227 N Canal St,Annawan,61234,309-937-3369,E,Public,Less than 24 hours,0,Non-Networked,Not Applicable,200-9,41.401123,-89.90459,9/14/2023,35119,9/14/2023,P,6/15/2009,False,False,NA,CREDIT_CARD_AFTER_HOURS,STANDALONE_STATION,0,False,False,0,1,0,0
CNG,MetroLINK Transit,3635 4th Ave,Moline,61265,815-275-5585,E,Private,Less than 24 hours,0,Non-Networked,Not Applicable,200-9,41.512238,-90.48543,1/10/2023,35304,8/24/2023,LG,8/15/2003,False,False,NA,FLEET,STANDALONE_STATION,0,True,True,1,1,1,1
E85,Power Mart,572 W Lake St,Elmhurst,60126,630-592-4599,E,Public,Less than 24 hours,0,Non-Networked,Not Applicable,200-9,41.919914,-87.95891,8/10/2023,35533,8/10/2023,P,10/15/2017,False,False,NA,CALL,CONVENIENCE_STORE,0,False,False,0,1,0,0
E85,Thorntons #386,101 S Mattis Ave,Champaign,61821,217-359-3128,E,Public,24 hours daily,0,Non-Networked,Not Applicable,200-9,40.116096,-88.27732,9/14/2023,35602,9/14/2023,P,12/15/2009,False,False,NA,CALL,CONVENIENCE_STORE,0,False,False,0,1,0,0
E85,E-K Petro Mart,305 S Hamilton St,Sullivan,61951,217-728-4316,E,Public,Less than 24 hours,0,Non-Networked,Not Applicable,200-8,39.59681,-88.6096,9/14/2023,35653,9/14/2023,P,5/21/2010,False,True,NA,CREDIT_CARD_AFTER_HOURS,CONVENIENCE_STORE,0,False,False,0,1,1,0
E85,Roc One Stop,309 E DeYoung St,Marion,62959,618-993-8899,E,Public,Less than 24 hours,0,Non-Networked,Not Applicable,GPS,37.74062,-88.92393,9/14/2023,35950,9/14/2023,P,5/15/2010,False,False,NA,CREDIT_CARD_AFTER_HOURS,CONVENIENCE_STORE,0,False,False,0,1,1,0
CNG,MetroLINK Transit,4501 4th Ave,Rock Island,61201,Not Available,E,Private,Less than 24 hours,0,Non-Networked,Not Applicable,200-9,41.50853,-90.53857,1/10/2023,36308,8/24/2023,LG,4/28/2014,False,False,NA,CALL,STANDALONE_STATION,0,True,True,1,1,1,1
E85,City of Chicago FS#2,6445 N Ravenswood Ave,Chicago,60626,Not Available,E,Private,Less than 24 hours,0,Non-Networked,Not Applicable,200-8,41.998997,-87.67503,9/14/2023,36318,9/14/2023,LG,11/15/2011,False,False,NA,GOVERNMENT,MUNI_GOV,0,True,True,1,1,1,1
E85,City of Chicago FS#202,5150 W 63rd St,Chicago,60638,Not Available,E,Private,Less than 24 hours,0,Non-Networked,Not Applicable,200-8,41.778248,-87.751,9/14/2023,36319,9/14/2023,LG,11/10/2011,False,False,NA,GOVERNMENT,MUNI_GOV,0,True,True,1,1,1,1
E85,City of Chicago FS#205,3245 N Campbell,Chicago,60618,Not Available,E,Private,Less than 24 hours,0,Non-Networked,Not Applicable,200-8,41.940784,-87.69061,9/14/2023,36320,9/14/2023,LG,3/31/2012,False,False,NA,GOVERNMENT,MUNI_GOV,0,True,True,1,1,1,1
E85,City of Chicago FS#8,10420 S Vincennes,Chicago,60643,Not Available,E,Private,Less than 24 hours,0,Non-Networked,Not Applicable,200-8,41.70405,-87.65704,9/14/2023,36321,9/14/2023,LG,10/15/2011,False,False,NA,GOVERNMENT,MUNI_GOV,0,True,True,1,1,1,1
CNG,CNG Calumet,130 State St,Calumet City,60409,773-960-5642,E,Public,24 hours daily,0,Non-Networked,Not Applicable,200-9,41.62281,-87.52743,9/14/2023,36581,9/14/2023,P,8/1/2013,False,False,NA,CREDIT_CARD_ALWAYS,STANDALONE_STATION,1,False,False,0,0,0,0
ELEC,INTERPARK 50 EAST OHIO 2,50 E Ohio St,Chicago,60611,888-758-4389,T,Public,24 hours daily,0,ChargePoint Network,http://www.chargepoint.com/,GPS,41.892757,-87.62604,11/10/2023,36619,11/10/2023,Unknown,2/15/2011,False,False,J1772 NEMA515,CALL,OTHER,0,True,True,1,1,1,1
E85,Raceco,450 Cicero Ave,University Park,60484,708-534-3050,E,Public,24 hours daily,0,Non-Networked,Not Applicable,GPS,41.456093,-87.73318,9/14/2023,36780,9/14/2023,P,10/31/2008,False,False,NA,CALL,CONVENIENCE_STORE,0,False,False,0,1,1,0
E85,Circle K,1501 N Division St,Morris,60450,815-416-1338,E,Public,24 hours daily,0,Non-Networked,Not Applicable,200-8,41.372517,-88.42199,9/14/2023,36889,9/14/2023,P,12/20/2010,False,False,NA,CALL,CONVENIENCE_STORE,0,False,False,0,1,0,0
E85,Citgo,13501 S Kedzie Ave,Robbins,60472,708-388-6000,E,Public,24 hours daily,0,Non-Networked,Not Applicable,200-8,41.64748,-87.69882,9/14/2023,36891,9/14/2023,P,11/30/2008,False,False,NA,CALL,CONVENIENCE_STORE,0,False,False,0,1,0,0
E85,Circle K,4202 W Springfield Ave,Champaign,61822,217-355-6864,E,Public,24 hours daily,0,Non-Networked,Not Applicable,200-9,40.113792,-88.3158,9/14/2023,36911,9/14/2023,P,6/15/2019,False,False,NA,CALL,CONVENIENCE_STORE,0,False,False,0,1,0,0
E85,Shell,17951 Halsted St,Homewood,60430,708-590-4099,E,Public,24 hours daily,0,Non-Networked,Not Applicable,200-9,41.563316,-87.635826,9/14/2023,36915,9/14/2023,P,10/31/2009,False,False,NA,CALL,CONVENIENCE_STORE,0,False,False,0,1,1,0
E85,Roc One Stop - Russell Oil,1100 W Broadway,Johnston City,62951,618-983-8570,E,Public,Less than 24 hours,0,Non-Networked,Not Applicable,200-9,37.816944,-88.94253,9/14/2023,36916,9/14/2023,P,1/31/2008,False,False,NA,CREDIT_CARD_AFTER_HOURS,CONVENIENCE_STORE,0,False,False,0,1,1,0
